Methode;Metric;Variablenname;Missing;Wert
correlation_2;MSE;NAME_INCOME_TYPE;25;0,000
correlation_2;MSE;NAME_INCOME_TYPE;10;0,000
correlation_2;MSE;NAME_INCOME_TYPE;0;0,000
correlation_2;MSE;CODE_GENDER;80;0,000
correlation_2;MSE;CODE_GENDER;50;0,000
correlation_2;MSE;CODE_GENDER;25;0,000
correlation_2;MSE;CODE_GENDER;10;0,000
correlation_2;MSE;CODE_GENDER;0;0,000
correlation_2;MSE;AMT_INCOME_TOTAL;80;13578612739,946
correlation_2;MSE;AMT_INCOME_TOTAL;50;13578612739,946
correlation_2;MSE;AMT_INCOME_TOTAL;25;13578612739,946
correlation_2;MSE;AMT_INCOME_TOTAL;10;13578612739,946
correlation_2;MSE;AMT_INCOME_TOTAL;0;13578612739,946
correlation_1;MSE;NAME_INCOME_TYPE;80;0,000
correlation_1;MSE;NAME_INCOME_TYPE;50;0,000
correlation_1;MSE;NAME_INCOME_TYPE;25;0,000
correlation_1;MSE;NAME_INCOME_TYPE;10;0,000
correlation_1;MSE;NAME_INCOME_TYPE;0;0,000
correlation_1;MSE;CODE_GENDER;80;0,000
correlation_1;MSE;CODE_GENDER;50;0,000
correlation_1;MSE;CODE_GENDER;25;0,000
correlation_1;MSE;CODE_GENDER;10;0,000
correlation_1;MSE;CODE_GENDER;0;0,000
correlation_1;MSE;AMT_INCOME_TOTAL;80;51575206374,430
correlation_1;MSE;AMT_INCOME_TOTAL;50;51575206374,430
correlation_1;MSE;AMT_INCOME_TOTAL;25;51575206374,430
correlation_1;MSE;AMT_INCOME_TOTAL;10;51575206374,430
correlation_1;MSE;AMT_INCOME_TOTAL;0;51575206374,430
median;MSE;AMT_INCOME_TOTAL;80;13909547127,370
median;MSE;AMT_INCOME_TOTAL;50;13909547127,370
median;MSE;AMT_INCOME_TOTAL;25;13909547127,370
median;MSE;AMT_INCOME_TOTAL;10;13909547127,370
median;MSE;AMT_INCOME_TOTAL;0;13909547127,370
modus;MSE;NAME_INCOME_TYPE;80;0,000
modus;MSE;NAME_INCOME_TYPE;50;0,000
modus;MSE;NAME_INCOME_TYPE;25;0,000
modus;MSE;NAME_INCOME_TYPE;10;0,000
modus;MSE;NAME_INCOME_TYPE;0;0,000
modus;MSE;CODE_GENDER;80;0,000
modus;MSE;CODE_GENDER;50;0,000
modus;MSE;CODE_GENDER;25;0,000
modus;MSE;CODE_GENDER;10;0,000
modus;MSE;CODE_GENDER;0;0,000
modus;MSE;AMT_INCOME_TOTAL;80;17268733893,898
modus;MSE;AMT_INCOME_TOTAL;50;17268733893,898
modus;MSE;AMT_INCOME_TOTAL;25;17268733893,898
modus;MSE;AMT_INCOME_TOTAL;10;17268733893,898
